Frame,fps
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,1000.0
13,1000.0
14,1000.0
15,1000.0
16,1000.0
17,1000.0
18,1000.0
19,1000.0
20,1000.0
21,1000.0
22,833.3333129882812
23,833.3333129882812
24,833.3333129882812
25,833.3333129882812
26,833.3333129882812
27,833.3333129882812
28,833.3333129882812
29,833.3333129882812
30,833.3333129882812
31,833.3333129882812
32,769.2307739257812
33,769.2307739257812
34,769.2307739257812
35,769.2307739257812
36,769.2307739257812
37,769.2307739257812
38,769.2307739257812
39,769.2307739257812
40,769.2307739257812
41,769.2307739257812
42,909.0909423828125
43,909.0909423828125
44,909.0909423828125
45,909.0909423828125
46,909.0909423828125
47,909.0909423828125
48,909.0909423828125
49,909.0909423828125
50,909.0909423828125
51,909.0909423828125
52,833.3333129882812
53,833.3333129882812
54,833.3333129882812
55,833.3333129882812
56,833.3333129882812
57,833.3333129882812
58,833.3333129882812
59,833.3333129882812
60,833.3333129882812
61,833.3333129882812
62,714.2857055664062
63,714.2857055664062
64,714.2857055664062
65,714.2857055664062
66,714.2857055664062
67,714.2857055664062
68,714.2857055664062
69,714.2857055664062
70,714.2857055664062
71,714.2857055664062
72,1000.0
73,1000.0
74,1000.0
75,1000.0
76,1000.0
77,1000.0
78,1000.0
79,1000.0
80,1000.0
81,1000.0
82,769.2307739257812
83,769.2307739257812
84,769.2307739257812
85,769.2307739257812
86,769.2307739257812
87,769.2307739257812
88,769.2307739257812
89,769.2307739257812
90,769.2307739257812
91,769.2307739257812
92,833.3333129882812
93,833.3333129882812
94,833.3333129882812
95,833.3333129882812
96,833.3333129882812
97,833.3333129882812
98,833.3333129882812
99,833.3333129882812
100,833.3333129882812
101,833.3333129882812
102,909.0909423828125
103,909.0909423828125
104,909.0909423828125
105,909.0909423828125
106,909.0909423828125
107,909.0909423828125
108,909.0909423828125
109,909.0909423828125
110,909.0909423828125
111,909.0909423828125
112,909.0909423828125
113,909.0909423828125
114,909.0909423828125
115,909.0909423828125
116,909.0909423828125
117,909.0909423828125
118,909.0909423828125
119,909.0909423828125
120,909.0909423828125
121,909.0909423828125
122,769.2307739257812
123,769.2307739257812
124,769.2307739257812
125,769.2307739257812
126,769.2307739257812
127,769.2307739257812
128,769.2307739257812
129,769.2307739257812
130,769.2307739257812
131,769.2307739257812
132,833.3333129882812
133,833.3333129882812
134,833.3333129882812
135,833.3333129882812
136,833.3333129882812
137,833.3333129882812
138,833.3333129882812
139,833.3333129882812
140,833.3333129882812
141,833.3333129882812
142,625.0
143,625.0
144,625.0
145,625.0
146,625.0
147,625.0
148,625.0
149,625.0
150,625.0
151,625.0
152,833.3333129882812
153,833.3333129882812
154,833.3333129882812
155,833.3333129882812
156,833.3333129882812
157,833.3333129882812
158,833.3333129882812
159,833.3333129882812
160,833.3333129882812
161,833.3333129882812
162,1000.0
163,1000.0
